title,genre,director,cast
Glass,"Drama, Horror, Sci-Fi",M. Night Shyamalan,"James McAvoy, Bruce Willis, Samuel L. Jackson, Anya Taylor-Joy"
La chimera,"Adventure, Comedy, Fantasy",Alice Rohrwacher,"Josh O'Connor, Carol Duarte, Vincenzo Nemolato, Isabella Rossellini"
Good Will Hunting,"Drama, Romance",Gus Van Sant,"Robin Williams, Matt Damon, Ben Affleck, Stellan Skarsgård"
Fifty Shades of Grey,"Drama, Romance, Thriller",Sam Taylor-Johnson,"Dakota Johnson, Jamie Dornan, Jennifer Ehle, Eloise Mumford"
Lisa Frankenstein,"Comedy, Horror, Romance",Zelda Williams,"Kathryn Newton, Liza Soberano, Jenna Davis, Trina LaFargue"
Bob Marley: One Love,"Biography, Drama, Music",Reinaldo Marcus Green,"Kingsley Ben-Adir, Lashana Lynch, James Norton, Tosin Cole"
The Long Game,"Drama, History, Sport",Julio Quintana,"Jay Hernandez, Dennis Quaid, Cheech Marin, Julian Works"
10 Things I Hate About You,"Comedy, Drama, Romance",Gil Junger,"Heath Ledger, Julia Stiles, Joseph Gordon-Levitt, Larisa Oleynik"
The Goonies,"Adventure, Comedy, Family",Richard Donner,"Sean Astin, Josh Brolin, Jeff Cohen, Corey Feldman"
The Voyeurs,"Drama, Mystery, Romance",Michael Mohan,"Sydney Sweeney, Justice Smith, Ben Hardy, Natasha Liu Bordizzo"
Jurassic World Dominion,"Action, Adventure, Sci-Fi",Colin Trevorrow,"Chris Pratt, Bryce Dallas Howard, Laura Dern, Sam Neill"
Sonic the Hedgehog 3,"Action, Adventure, Comedy",Jeff Fowler,"Ben Schwartz, Colleen O'Shaughnessey, Idris Elba, Keanu Reeves"
The Dead Don't Die,"Comedy, Fantasy, Horror",Jim Jarmusch,"Bill Murray, Adam Driver, Tilda Swinton, Tom Waits"
Joker,"Crime, Drama, Thriller",Todd Phillips,"Joaquin Phoenix, Robert De Niro, Zazie Beetz, Frances Conroy"
Se7en,"Crime, Drama, Mystery",David Fincher,"Morgan Freeman, Brad Pitt, Kevin Spacey, Andrew Kevin Walker"
Spider-Man: No Way Home,"Action, Adventure, Fantasy",Jon Watts,"Tom Holland, Zendaya, Benedict Cumberbatch, Jacob Batalon"
The Outsiders,"Crime, Drama",Francis Ford Coppola,"C. Thomas Howell, Matt Dillon, Ralph Macchio, Patrick Swayze"
Promising Young Woman,"Crime, Drama, Mystery",Emerald Fennell,"Carey Mulligan, Bo Burnham, Alison Brie, Clancy Brown"
Avengers: Endgame,"Action, Adventure, Drama",Anthony Russo,"Joe Russo, Robert Downey Jr., Chris Evans, Mark Ruffalo, Chris Hemsworth"
Not Another Church Movie,Comedy,Johnny Mack,"Mickey Rourke, Jamie Foxx, Vivica A. Fox, Lamorne Morris"
Mad Max 2,"Action, Adventure, Sci-Fi",George Miller,"Mel Gibson, Bruce Spence, Michael Preston, Max Phipps"
The Boys in the Boat,"Biography, Drama, Sport",George Clooney,"Joel Edgerton, Callum Turner, Peter Guinness, Sam Strike"
The Land That Time Forgot,"Adventure, Fantasy",Kevin Connor,"Doug McClure, John McEnery, Susan Penhaligon, Keith Barron"
Aliens,"Action, Adventure, Sci-Fi",James Cameron,"Sigourney Weaver, Michael Biehn, Carrie Henn, Paul Reiser"
Jurassic Park,"Action, Adventure, Sci-Fi",Steven Spielberg,"Sam Neill, Laura Dern, Jeff Goldblum, Richard Attenborough"
Gone Girl,"Drama, Mystery, Thriller",David Fincher,"Ben Affleck, Rosamund Pike, Neil Patrick Harris, Tyler Perry"
Watchmen,"Action, Drama, Mystery",Zack Snyder,"Jackie Earle Haley, Patrick Wilson, Carla Gugino, Malin Akerman"
Joker: Folie à Deux,"Crime, Drama, Musical",Todd Phillips,"Zazie Beetz, Joaquin Phoenix, Lady Gaga, Brendan Gleeson"
One Life,"Biography, Drama, History",James Hawes,"Anthony Hopkins, Lena Olin, Johnny Flynn, Helena Bonham Carter"
Heat,"Action, Crime, Drama",Michael Mann,"Al Pacino, Robert De Niro, Val Kilmer, Jon Voight"
The Matrix Resurrections,"Action, Sci-Fi",Lana Wachowski,"Keanu Reeves, Carrie-Anne Moss, Yahya Abdul-Mateen II, Jonathan Groff"
Masterminds,"Biography, Comedy, Crime",Jared Hess,"Zach Galifianakis, Owen Wilson, Kristen Wiig, Ross Kimball"
Nosferatu,"Fantasy, Horror, Mystery",Robert Eggers,"Aaron Taylor-Johnson, Ralph Ineson, Bill Skarsgård, Emma Corrin"
Le Cinquième Élément,"Action, Adventure, Sci-Fi",Luc Besson,"Bruce Willis, Milla Jovovich, Gary Oldman, Ian Holm"
Saving Private Ryan,"Drama, War",Steven Spielberg,"Tom Hanks, Matt Damon, Tom Sizemore, Edward Burns"
Goodfellas,"Biography, Crime, Drama",Martin Scorsese,"Robert De Niro, Ray Liotta, Joe Pesci, Lorraine Bracco"
Trap,"Crime, Horror, Mystery",M. Night Shyamalan,"Josh Hartnett, Alison Pill, Hayley Mills, Ariel Donoghue"
The Notebook,"Drama, Romance",Nick Cassavetes,"Gena Rowlands, James Garner, Rachel McAdams, Ryan Gosling"
Léon,"Action, Crime, Drama",Luc Besson,"Jean Reno, Gary Oldman, Natalie Portman, Danny Aiello"
No Country for Old Men,"Crime, Drama, Thriller",Ethan Coen,"Joel Coen, Tommy Lee Jones, Javier Bardem, Josh Brolin, Woody Harrelson"
Steel Magnolias,"Comedy, Drama, Romance",Herbert Ross,"Shirley MacLaine, Olympia Dukakis, Sally Field, Julia Roberts"
Ford v Ferrari,"Action, Biography, Drama",James Mangold,"Matt Damon, Christian Bale, Jon Bernthal, Caitríona Balfe"
The Departed,"Crime, Drama, Thriller",Martin Scorsese,"Leonardo DiCaprio, Matt Damon, Jack Nicholson, Mark Wahlberg"
Culpa mía,"Drama, Romance",Domingo González,"Nicole Wallace, Gabriel Guevara, Marta Hazas, Iván Sánchez"
Ordinary Angels,Drama,Jon Gunn,"Hilary Swank, Alan Ritchson, Emily Mitchell, Skywalker Hughes"
Whiplash,"Drama, Music",Damien Chazelle,"Miles Teller, J.K. Simmons, Melissa Benoist, Paul Reiser"
The Big Lebowski,"Comedy, Crime",Joel Coen,"Ethan Coen, Jeff Bridges, John Goodman, Julianne Moore, Steve Buscemi"
Apocalypse Now,"Drama, Mystery, War",Francis Ford Coppola,"Martin Sheen, Marlon Brando, Robert Duvall, Frederic Forrest"
The Usual Suspects,"Crime, Drama, Mystery",Bryan Singer,"Kevin Spacey, Gabriel Byrne, Chazz Palminteri, Stephen Baldwin"
Mortal Kombat,"Action, Adventure, Fantasy",Simon McQuoid,"Lewis Tan, Jessica McNamee, Josh Lawson, Joe Taslim"
Scoop,"Biography, Drama",Philip Martin,"Billie Piper, Gillian Anderson, Rufus Sewell, Connor Swindells"
Megan Is Missing,"Drama, Horror, Thriller",Michael Goi,"Amber Perkins, Rachel Quinn, Dean Waite, Jael Elizabeth Steinmeyer"
Top Gun,"Action, Drama",Tony Scott,"Tom Cruise, Tim Robbins, Kelly McGillis, Val Kilmer"
Baby Driver,"Action, Crime, Drama",Edgar Wright,"Ansel Elgort, Jon Bernthal, Jon Hamm, Eiza González"
Spaceman,"Adventure, Drama, Sci-Fi",Johan Renck,"Adam Sandler, Carey Mulligan, Paul Dano, Kunal Nayyar"
Braveheart,"Biography, Drama, War",Mel Gibson,"Mel Gibson, Sophie Marceau, Patrick McGoohan, Angus Macfadyen"
Requiem for a Dream,Drama,Darren Aronofsky,"Ellen Burstyn, Jared Leto, Jennifer Connelly, Marlon Wayans"
Hellboy,"Action, Adventure, Fantasy",Neil Marshall,"David Harbour, Milla Jovovich, Ian McShane, Sasha Lane"
La La Land,"Comedy, Drama, Music",Damien Chazelle,"Ryan Gosling, Emma Stone, Rosemarie DeWitt, J.K. Simmons"
Twilight,"Drama, Fantasy, Romance",Catherine Hardwicke,"Kristen Stewart, Robert Pattinson, Billy Burke, Sarah Clarke"
Dead Poets Society,"Comedy, Drama",Peter Weir,"Robin Williams, Robert Sean Leonard, Ethan Hawke, Josh Charles"
Star Wars: Episode VIII - The Last Jedi,"Action, Adventure, Fantasy",Rian Johnson,"Daisy Ridley, John Boyega, Mark Hamill, Carrie Fisher"
Mean Girls,Comedy,Mark Waters,"Lindsay Lohan, Jonathan Bennett, Rachel McAdams, Tina Fey"
The Watchers,"Fantasy, Horror, Mystery",Ishana Shyamalan,"Dakota Fanning, Georgina Campbell, Olwen Fouéré, Siobhan Hewlett"
No Time to Die,"Action, Adventure, Thriller",Cary Joji Fukunaga,"Daniel Craig, Ana de Armas, Rami Malek, Léa Seydoux"
Guardians of the Galaxy Vol. 3,"Action, Adventure, Comedy",James Gunn,"Chris Pratt, Chukwudi Iwuji, Bradley Cooper, Pom Klementieff"
Family Star,"Action, Drama",Parasuram,"Vijay Deverakonda, Mrunal Thakur, Divyansha Kaushik, Abhinaya"
Gummo,"Comedy, Drama",Harmony Korine,"Nick Sutton, Jacob Sewell, Lara Tosh, Jacob Reynolds"
Men,"Drama, Fantasy, Horror",Alex Garland,"Jessie Buckley, Rory Kinnear, Paapa Essiedu, Gayle Rankin"
The Strangers,"Horror, Mystery, Thriller",Bryan Bertino,"Scott Speedman, Liv Tyler, Gemma Ward, Alex Fisher"
Ex Machina,"Drama, Sci-Fi, Thriller",Alex Garland,"Alicia Vikander, Domhnall Gleeson, Oscar Isaac, Sonoya Mizuno"
The Maze Runner,"Action, Mystery, Sci-Fi",Wes Ball,"Dylan O'Brien, Kaya Scodelario, Will Poulter, Thomas Brodie-Sangster"
You Should Have Left,"Horror, Mystery, Thriller",David Koepp,"Kevin Bacon, Amanda Seyfried, Avery Tiiu Essex, Colin Blumenau"
Horizon: An American Saga - Chapter 1,"Drama, Western",Kevin Costner,"Kevin Costner, Dale Dickey, Jena Malone, Abbey Lee"
Beetlejuice Beetlejuice,"Comedy, Fantasy, Horror",Tim Burton,"Jenna Ortega, Monica Bellucci, Winona Ryder, Michael Keaton"
Captain America: Brave New World,"Action, Adventure, Sci-Fi",Julius Onah,"Harrison Ford, Liv Tyler, Rosa Salazar, Shira Haas"
Shrek,"Animation, Adventure, Comedy",Andrew Adamson,"Vicky Jenson, Mike Myers, Eddie Murphy, Cameron Diaz, John Lithgow"
Cash Out,Action,Randall Emmett,"John Travolta, Kristin Davis, Lukas Haas, Quavo"
The Killing of a Sacred Deer,"Drama, Horror, Mystery",Yorgos Lanthimos,"Barry G. Bernson, Herb Caillouet, Bill Camp, Raffey Cassidy"
Nope,"Horror, Mystery, Sci-Fi",Jordan Peele,"Daniel Kaluuya, Keke Palmer, Brandon Perea, Michael Wincott"
The Hateful Eight,"Crime, Drama, Mystery",Quentin Tarantino,"Samuel L. Jackson, Kurt Russell, Jennifer Jason Leigh, Walton Goggins"
The Devil Wears Prada,"Comedy, Drama",David Frankel,"Anne Hathaway, Meryl Streep, Adrian Grenier, Emily Blunt"
The Princess Bride,"Adventure, Comedy, Family",Rob Reiner,"Cary Elwes, Mandy Patinkin, Robin Wright, Chris Sarandon"
Django Unchained,"Comedy, Drama, Western",Quentin Tarantino,"Jamie Foxx, Christoph Waltz, Leonardo DiCaprio, Kerry Washington"
Srpski film,"Horror, Mystery, Thriller",Srdjan Spasojevic,"Srdjan 'Zika' Todorovic, Sergej Trifunovic, Jelena Gavrilovic, Slobodan Bestic"
Hacksaw Ridge,"Biography, Drama, History",Mel Gibson,"Andrew Garfield, Sam Worthington, Luke Bracey, Teresa Palmer"
The Creator,"Action, Adventure, Drama",Gareth Edwards,"John David Washington, Madeleine Yuna Voyles, Gemma Chan, Allison Janney"
Pride & Prejudice,"Drama, Romance",Joe Wright,"Keira Knightley, Matthew Macfadyen, Brenda Blethyn, Donald Sutherland"
Mortal Kombat 2,"Action, Adventure, Fantasy",Simon McQuoid,"Hiroyuki Sanada, Karl Urban, Tadanobu Asano, Jessica McNamee"
Babylon,"Comedy, Drama, History",Damien Chazelle,"Brad Pitt, Margot Robbie, Jean Smart, Olivia Wilde"
Farming,Drama,Adewale Akinnuoye-Agbaje,"Leke Adebayo, Ademola Adedoyin, Adejola Adeyemi, Adewale Akinnuoye-Agbaje"
Pretty in Pink,"Comedy, Drama, Romance",Howard Deutch,"Molly Ringwald, Jon Cryer, Harry Dean Stanton, Annie Potts"
X-Men Origins: Wolverine,"Action, Sci-Fi",Gavin Hood,"Hugh Jackman, Liev Schreiber, Ryan Reynolds, Danny Huston"
John Wick,"Action, Crime, Thriller",Chad Stahelski,"Keanu Reeves, Michael Nyqvist, Alfie Allen, Willem Dafoe"
Kill Bill: Vol. 1,"Action, Crime, Thriller",Quentin Tarantino,"Uma Thurman, David Carradine, Daryl Hannah, Michael Madsen"
28 Days Later...,"Drama, Horror, Sci-Fi",Danny Boyle,"Cillian Murphy, Naomie Harris, Christopher Eccleston, Alex Palmer"
Pirates of the Caribbean: The Curse of the Black Pearl,"Action, Adventure, Fantasy",Gore Verbinski,"Johnny Depp, Geoffrey Rush, Orlando Bloom, Keira Knightley"
Mandy,"Action, Fantasy, Horror",Panos Cosmatos,"Nicolas Cage, Andrea Riseborough, Linus Roache, Ned Dennehy"
A Quiet Place,"Drama, Horror, Sci-Fi",John Krasinski,"Emily Blunt, John Krasinski, Millicent Simmonds, Noah Jupe"
Five Nights at Freddy's,"Horror, Mystery, Thriller",Emma Tammi,"Josh Hutcherson, Piper Rubio, Elizabeth Lail, Matthew Lillard"
Hidden,"Horror, Sci-Fi, Thriller",Matt Duffer,"Ross Duffer, Alexander Skarsgård, Andrea Riseborough, Emily Alyn Lind, Steven Elliot"
Back to the Future,"Adventure, Comedy, Sci-Fi",Robert Zemeckis,"Michael J. Fox, Christopher Lloyd, Lea Thompson, Crispin Glover"
Expend4bles,"Action, Adventure, Thriller",Scott Waugh,"Jason Statham, 50 Cent, Megan Fox, Dolph Lundgren"
Star Trek,"Action, Adventure, Sci-Fi",J.J. Abrams,"Chris Pine, Zachary Quinto, Simon Pegg, Leonard Nimoy"
The Dark Knight Rises,"Action, Drama, Thriller",Christopher Nolan,"Christian Bale, Tom Hardy, Anne Hathaway, Gary Oldman"
Anna,"Action, Thriller",Luc Besson,"Sasha Luss, Helen Mirren, Luke Evans, Cillian Murphy"
The Prestige,"Drama, Mystery, Sci-Fi",Christopher Nolan,"Christian Bale, Hugh Jackman, Scarlett Johansson, Michael Caine"
365 dni,"Drama, Romance",Barbara Bialowas,"Tomasz Mandes, Anna-Maria Sieklucka, Michele Morrone, Bronislaw Wroclawski, Otar Saralidze"
Get Out,"Horror, Mystery, Thriller",Jordan Peele,"Daniel Kaluuya, Allison Williams, Bradley Whitford, Catherine Keener"
Ferrari,"Biography, Drama, History",Michael Mann,"Adam Driver, Shailene Woodley, Giuseppe Festinese, Alessandro Cremona"
Baghead,Horror,Alberto Corredor,"Freya Allan, Jeremy Irvine, Ruby Barker, Peter Mullan"
X-Men,"Action, Adventure, Sci-Fi",Bryan Singer,"Patrick Stewart, Hugh Jackman, Ian McKellen, Famke Janssen"
Call Me by Your Name,"Drama, Romance",Luca Guadagnino,"Timothée Chalamet, Armie Hammer, Michael Stuhlbarg, Amira Casar"
Little Women,"Drama, Romance",Greta Gerwig,"Saoirse Ronan, Emma Watson, Florence Pugh, Eliza Scanlen"
Reptile,"Crime, Drama, Mystery",Grant Singer,"Benicio Del Toro, Justin Timberlake, Eric Bogosian, Alicia Silverstone"
Hereditary,"Drama, Horror, Mystery",Ari Aster,"Toni Collette, Milly Shapiro, Gabriel Byrne, Alex Wolff"
The American Society of Magical Negroes,"Comedy, Fantasy",Kobi Libii,"Justice Smith, Zachary Barton, Anthony Coons, Robbie Troy"
Jeanne du Barry,"Biography, Drama, History",Maïwenn,"Stanislas Stanic, Maïwenn, Johnny Depp, Benjamin Lavernhe"
It,"Fantasy, Horror",Andy Muschietti,"Bill Skarsgård, Jaeden Martell, Finn Wolfhard, Sophia Lillis"
The Dreamers,"Drama, Romance",Bernardo Bertolucci,"Michael Pitt, Louis Garrel, Eva Green, Anna Chancellor"
Logan,"Action, Drama, Sci-Fi",James Mangold,"Hugh Jackman, Patrick Stewart, Dafne Keen, Boyd Holbrook"
Amar Singh Chamkila,"Biography, Drama, Music",Imtiaz Ali,"Diljit Dosanjh, Parineeti Chopra, Apinderdeep Singh, Anjum Batra"
The Super Mario Bros. Movie,"Animation, Adventure, Comedy",Aaron Horvath,"Michael Jelenic, Pierre Leduc, Fabien Polack, Chris Pratt, Anya Taylor-Joy, Charlie Day, Jack Black"
12 Angry Men,"Crime, Drama",Sidney Lumet,"Henry Fonda, Lee J. Cobb, Martin Balsam, John Fiedler"
Shahr zii aleasal,"Comedy, Romance",Elie Semaan,"Nour Al Ghandour, Mahmoud Boushahri, Ascia Al Faraj, Mahdi Barwiz"
"Crazy, Stupid, Love.","Comedy, Drama, Romance",Glenn Ficarra,"John Requa, Steve Carell, Ryan Gosling, Julianne Moore, Emma Stone"
Shiti Hanta,"Action, Comedy, Crime",Yûichi Satô,"Ryohei Suzuki, Misato Morita, Masanobu Andô, Fumino Kimura"
Dazed and Confused,Comedy,Richard Linklater,"Jason London, Wiley Wiggins, Matthew McConaughey, Rory Cochrane"
The Magnificent Seven,"Action, Adventure, Drama",Antoine Fuqua,"Denzel Washington, Chris Pratt, Ethan Hawke, Vincent D'Onofrio"
L.A. Confidential,"Crime, Drama, Mystery",Curtis Hanson,"Kevin Spacey, Russell Crowe, Guy Pearce, Kim Basinger"
Winnie-the-Pooh: Blood and Honey 2,"Horror, Thriller",Rhys Frake-Waterfield,"Scott Chambers, Tallulah Evans, Ryan Oliva, Lewis Santer"
The Menu,"Comedy, Horror, Thriller",Mark Mylod,"Ralph Fiennes, Anya Taylor-Joy, Nicholas Hoult, Hong Chau"
Rush,"Action, Biography, Drama",Ron Howard,"Daniel Brühl, Chris Hemsworth, Olivia Wilde, Alexandra Maria Lara"
The Covenant,"Action, Drama, Thriller",Guy Ritchie,"Jake Gyllenhaal, Dar Salim, Sean Sagar, Jason Wong"
Drive,"Action, Drama",Nicolas Winding Refn,"Ryan Gosling, Carey Mulligan, Bryan Cranston, Albert Brooks"
Avatar: The Way of Water,"Action, Adventure, Fantasy",James Cameron,"Sam Worthington, Zoe Saldana, Sigourney Weaver, Stephen Lang"
MaXXXine,"Crime, Horror",Ti West,"Mia Goth, Elizabeth Debicki, Moses Sumney, Michelle Monaghan"
Amadeus,"Biography, Drama, Music",Milos Forman,"F. Murray Abraham, Tom Hulce, Elizabeth Berridge, Roy Dotrice"
The Terminator,"Action, Adventure, Sci-Fi",James Cameron,"Arnold Schwarzenegger, Linda Hamilton, Michael Biehn, Paul Winfield"
Beneath the Planet of the Apes,"Action, Adventure, Sci-Fi",Ted Post,"James Franciscus, Kim Hunter, Maurice Evans, Linda Harrison"
Boogie Nights,Drama,Paul Thomas Anderson,"Mark Wahlberg, Julianne Moore, Burt Reynolds, Luis Guzmán"
Dungeons & Dragons: Honor Among Thieves,"Action, Adventure, Comedy",John Francis Daley,"Jonathan Goldstein, Chris Pine, Michelle Rodriguez, Regé-Jean Page, Justice Smith"
The Blue Lagoon,"Adventure, Drama, Romance",Randal Kleiser,"Brooke Shields, Christopher Atkins, Leo McKern, William Daniels"
Bridge to Terabithia,"Drama, Family, Fantasy",Gabor Csupo,"Josh Hutcherson, AnnaSophia Robb, Zooey Deschanel, Robert Patrick"
The Big Trail,"Adventure, Drama, Romance",Raoul Walsh,"Louis R. Loeffler, John Wayne, Marguerite Churchill, El Brendel, Tully Marshall"
Prisoners,"Crime, Drama, Mystery",Denis Villeneuve,"Hugh Jackman, Jake Gyllenhaal, Viola Davis, Melissa Leo"
Sicario,"Action, Crime, Drama",Denis Villeneuve,"Emily Blunt, Josh Brolin, Benicio Del Toro, Jon Bernthal"
The Contestant,Documentary,Clair Titley,"Tomoaki Hamatsu, Jason Her, Toshio Tsuchiya, June Yoon"
American Psycho,"Crime, Drama, Horror",Mary Harron,"Christian Bale, Justin Theroux, Josh Lucas, Bill Sage"
Longlegs,"Horror, Thriller",Oz Perkins,"Nicolas Cage, Maika Monroe, Alicia Witt, Blair Underwood"
The Gray Man,"Action, Thriller",Joe Russo,"Anthony Russo, Ryan Gosling, Chris Evans, Ana de Armas, Billy Bob Thornton"
Fall,"Action, Thriller",Scott Mann,"Grace Caroline Currey, Virginia Gardner, Mason Gooding, Jeffrey Dean Morgan"
From Dusk Till Dawn,"Action, Crime, Horror",Robert Rodriguez,"Harvey Keitel, George Clooney, Juliette Lewis, Quentin Tarantino"
Cinderella,"Comedy, Family, Fantasy",Kay Cannon,"Camila Cabello, Billy Porter, Nicholas Galitzine, Idina Menzel"
The Godfather Part II,"Crime, Drama",Francis Ford Coppola,"Al Pacino, Robert De Niro, Robert Duvall, Diane Keaton"
Prometheus,"Adventure, Mystery, Sci-Fi",Ridley Scott,"Noomi Rapace, Logan Marshall-Green, Michael Fassbender, Charlize Theron"
Moana 2,"Animation, Adventure, Comedy",David G. Derrick Jr.,"Auli'i Cravalho, Dwayne Johnson, Alan Tudyk"
Firebrand,"Drama, History",Karim Aïnouz,"Alicia Vikander, Jude Law, Eddie Marsan, Sam Riley"
Free Guy,"Action, Adventure, Comedy",Shawn Levy,"Ryan Reynolds, Jodie Comer, Taika Waititi, Lil Rel Howery"
Eternal Sunshine of the Spotless Mind,"Drama, Romance, Sci-Fi",Michel Gondry,"Jim Carrey, Kate Winslet, Tom Wilkinson, Gerry Robert Byrne"
The Dry,"Crime, Drama, Mystery",Robert Connolly,"Eric Bana, Genevieve O'Reilly, Keir O'Donnell, John Polson"
One Day,"Drama, Romance",Lone Scherfig,"Anne Hathaway, Jim Sturgess, Patricia Clarkson, Tom Mison"
Love & Other Drugs,"Comedy, Drama, Romance",Edward Zwick,"Jake Gyllenhaal, Anne Hathaway, Judy Greer, Oliver Platt"
"Girl, Interrupted","Biography, Drama",James Mangold,"Winona Ryder, Angelina Jolie, Clea DuVall, Brittany Murphy"
Godzilla vs. Kong,"Action, Sci-Fi, Thriller",Adam Wingard,"Alexander Skarsgård, Millie Bobby Brown, Rebecca Hall, Brian Tyree Henry"
Asteroid City,"Comedy, Drama, Romance",Wes Anderson,"Jason Schwartzman, Scarlett Johansson, Tom Hanks, Jeffrey Wright"
The Lion King,"Animation, Adventure, Drama",Roger Allers,"Rob Minkoff, Matthew Broderick, Jeremy Irons, James Earl Jones, Whoopi Goldberg"
Oldeuboi,"Action, Drama, Mystery",Park Chan-wook,"Choi Min-sik, Yoo Ji-tae, Kang Hye-jeong, Kim Byeong-Ok"
Don't Worry Darling,"Drama, Mystery, Thriller",Olivia Wilde,"Florence Pugh, Harry Styles, Chris Pine, Olivia Wilde"
Lift,"Action, Comedy, Crime",F. Gary Gray,"Kevin Hart, Gugu Mbatha-Raw, Sam Worthington, Vincent D'Onofrio"
Beetlejuice,"Comedy, Fantasy",Tim Burton,"Alec Baldwin, Geena Davis, Michael Keaton, Annie McEnroe"
Pitch Perfect,"Comedy, Music, Romance",Jason Moore,"Anna Kendrick, Brittany Snow, Rebel Wilson, Anna Camp"
Night Swim,"Horror, Thriller",Bryce McGuire,"Wyatt Russell, Kerry Condon, Amélie Hoeferle, Gavin Warren"
Cars,"Animation, Adventure, Comedy",John Lasseter,"Joe Ranft, Owen Wilson, Bonnie Hunt, Paul Newman, Larry the Cable Guy"
Arrival,"Drama, Mystery, Sci-Fi",Denis Villeneuve,"Amy Adams, Jeremy Renner, Forest Whitaker, Michael Stuhlbarg"
Justice League: Crisis on Infinite Earths - Part Two,"Animation, Action, Adventure",Jeff Wamester,"Jensen Ackles, Darren Criss, Meg Donnelly, Stana Katic"
Shutter Island,"Drama, Mystery, Thriller",Martin Scorsese,"Leonardo DiCaprio, Emily Mortimer, Mark Ruffalo, Ben Kingsley"
Tombstone,"Biography, Drama, History",George P. Cosmatos,"Kevin Jarre, Kurt Russell, Val Kilmer, Sam Elliott, Bill Paxton"
Upgraded,"Comedy, Romance",Carlson Young,"Camila Mendes, Archie Renaux, Marisa Tomei, Lena Olin"
Kimitachi wa dô ikiru ka,"Animation, Adventure, Drama",Hayao Miyazaki,"Soma Santoki, Masaki Suda, Kô Shibasaki, Aimyon"
Ready Player One,"Action, Adventure, Sci-Fi",Steven Spielberg,"Tye Sheridan, Olivia Cooke, Ben Mendelsohn, Lena Waithe"
